# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	352855
#@/user_id	5ccb50a0-6ba1-4de8-9045-d7436d20e87a
a 	啊	c=5862 d=5.05529 t=352657
mei wen ti a 	沒問題啊	c=2 d=1 t=336007
mei wo 	沒我	c=2 d=1 t=330957
mei xi 	梅西	c=1 d=1 t=246079
mei xi 	沒戲	c=22 d=1 t=333214
mei xia lai 	沒下來	c=2 d=1 t=135454
mei xian qi 	沒嫌棄	c=2 d=1 t=119424
mei xiang 	沒想	c=7 d=1 t=175789
mei xiang dao 	沒想到	c=3 d=1.99005 t=270095
mei xiang hao 	沒想好	c=7 d=1 t=119540
mei xiao shi 	每小時	c=1 d=1 t=158277
mei xiao xi 	沒消息	c=1 d=1 t=245192
mei xin hao 	沒信號	c=1 d=1 t=8401
mei xiu xi 	沒休息	c=1 d=1 t=155888
mei xue 	美學	c=2 d=1.97045 t=231300
mei yan 	美顏	c=1 d=1 t=241548
mei yan jiu 	沒研究	c=1 d=1 t=61087
mei yao 	沒要	c=1 d=1 t=256253
mei ye 	每頁	c=2 d=1 t=218772
mei ye 	美業	c=122 d=1 t=350347
mei ye de 	美業的	c=1 d=1 t=252330
mei ye ji 	沒業績	c=2 d=1 t=296741
mei ye shang jia 	美業商家	c=1 d=1 t=7534
mei yi si 	沒意思	c=5 d=1 t=284983
mei yi tian 	每一天	c=1 d=1 t=193702
mei yi tiao 	沒一條	c=1 d=1 t=309010
mei yin xiang 	沒印象	c=6 d=1 t=235749
mei ying xiang 	沒影響	c=1 d=1 t=318493
mei yo 	沒喲	c=3 d=1 t=344428
mei yong 	沒用	c=43 d=1 t=342880
mei yong guo 	沒用過	c=6 d=1.00026 t=326545
mei you 	沒有	c=831 d=2.55875 t=352756
mei you a 	沒有啊	c=2 d=1 t=67945
mei you ba 	沒有吧	c=1 d=1 t=64453
mei you bie de 	沒有別的	c=1 d=1 t=67798
mei you da yin 	沒有打印	c=1 d=1 t=78639
mei you de 	沒有的	c=2 d=1 t=330275
mei you guan xi 	沒有關係	c=1 d=1 t=62733
mei you gui mo 	沒有規模	c=1 d=1 t=168194
mei you guo min 	沒有過敏	c=1 d=1 t=3073
mei you jia ge 	沒有價格	c=1 d=1 t=258816
mei you na me 	沒有那麼	c=1 d=1 t=17677
mei you ni 	沒有你	c=1 d=1 t=66866
mei you ren 	沒有人	c=2 d=1 t=124635
mei you ren zheng 	沒有認證	c=1 d=1 t=66428
mei you xian zhi 	沒有限制	c=1 d=1 t=75106
mei you yi yi 	沒有意義	c=1 d=1 t=87802
mei you yong 	沒有用	c=1 d=1 t=65202
mei you zhao dao 	沒有找到	c=1 d=1 t=142793
mei you zhao hui 	沒有找回	c=1 d=1 t=143355
mei you zhe ge 	沒有這個	c=1 d=1 t=59958
mei you zhe xie 	沒有這些	c=1 d=1 t=200680
mei yu dao 	沒遇到	c=1 d=1 t=305310
mei yu du 	美譽度	c=2 d=1.99501 t=143123
mei yuan 	美元	c=12 d=1 t=338808
mei yuan 	美院	c=1 d=1 t=330634
mei yue 	每月	c=13 d=1 t=266504
mei zai 	沒再	c=3 d=1 t=212813
mei zai 	沒在	c=19 d=1 t=337639
mei zen me 	沒怎麼	c=7 d=1 t=340134
mei zhang 	每張	c=3 d=1 t=244112
mei zhang hao 	沒帳號	c=1 d=1 t=321573
mei zhao dao 	沒找到	c=12 d=1 t=311075
mei zhe 	沒轍	c=1 d=1 t=310033
mei zhe ge 	沒這個	c=2 d=1 t=170291
mei zhen 	沒真	c=1 d=1 t=170244
mei zheng ju 	沒證據	c=1 d=1 t=169149
mei zhong 	每種	c=1 d=1 t=265317
mei zhou 	每週	c=20 d=1 t=310067
mei zhou 	湄州	c=2 d=1 t=211098
mei zhu 	沒住	c=3 d=1 t=295233
mei zhu yi 	沒主意	c=11 d=1 t=196046
mei zhuang 	沒裝	c=2 d=1 t=156994
mei zhuang 	美妝	c=1 d=1 t=61134
mei zhun 	沒準	c=73 d=1.02107 t=349423
mei zhun hai dei 	沒準還得	c=1 d=1 t=334864
mei zhuo 	沒卓	c=1 d=1 t=30070
mei zi 	妹子	c=2 d=1 t=349784
mei zi xi 	沒仔細	c=1 d=1 t=345248
mei zou 	沒走	c=5 d=1 t=155420
mei zu 	魅族	c=3 d=2.08959 t=51926
mei zuo 	沒做	c=4 d=1 t=330312
mei zuo guo 	沒做過	c=2 d=1 t=134777
mei zuo wan 	沒做完	c=3 d=1 t=331672
men 	們	c=62 d=1 t=352297
men 	悶	c=4 d=1 t=334411
men 	燜	c=1 d=1 t=58847
men 	門	c=76 d=1 t=352495
men di 	門第	c=0 d=0.1 t=206694
men di a 	門第啊	c=1 d=1 t=206695
men di na 	們底那	c=1 d=1 t=285717
men dian 	門店	c=499 d=1.6473 t=352347
men dian ge shu 	門店個數	c=1 d=1 t=153024
men dian ke yi 	門店可以	c=1 d=1 t=174342
men dian shang pin 	門店商品	c=1 d=1 t=327582
men dian shi 	門店是	c=1 d=1 t=322425
men dian shu 	門店數	c=9 d=1 t=241980
men dian zai 	門店在	c=1 d=1 t=159829
men ding 	門釘	c=2 d=1 t=183438
men hou 	門後	c=1 d=1 t=80429
men hou mian 	門後面	c=1 d=1 t=44177
men hu 	門戶	c=1 d=1 t=328504
men jiang 	門將	c=1 d=1 t=215630
men jin 	門禁	c=5 d=1.0956 t=217377
men jin ka 	門禁卡	c=1 d=1 t=217369
men kai 	門開	c=1 d=1 t=288476
men kan 	門檻	c=5 d=1 t=288477
men kou 	門口	c=12 d=1 t=322119
men kuan 	門款	c=1 d=1 t=225685
men kuang 	門框	c=1 d=1 t=293467
men mian 	門面	c=1 d=1 t=346523
men pai 	門派	c=1 d=1 t=57859
men pai 	門牌	c=1 d=1 t=173683
men tou 	悶頭	c=1 d=1 t=173692
men tou 	門頭	c=1 d=1 t=173693
men zhen 	門診	c=2 d=1 t=243713
men zi 	門子	c=1 d=1 t=9568
meng 	夢	c=16 d=1 t=333420
meng 	孟	c=54 d=2.37057 t=328979
meng 	懵	c=15 d=1.96561 t=323888
meng 	猛	c=4 d=1 t=341345
meng 	盟	c=12 d=1 t=334555
meng 	蒙	c=3 d=1 t=334403
meng bi 	懵逼	c=2 d=1 t=262545
meng dao 	夢到	c=1 d=1 t=140296
meng le 	蒙了	c=1 d=1 t=146996
meng lei 	夢類	c=1 d=1 t=96866
meng lie 	猛烈	c=2 d=1 t=96867
meng meng 	萌萌	c=1 d=1 t=232579
meng niu 	蒙牛	c=2 d=1 t=126480
meng quan 	懵圈	c=1 d=1 t=126738
meng xiang 	夢想	c=4 d=1 t=167559
meng xiang jia 	夢想家	c=2 d=1.00012 t=117800
meng yi kan 	猛一看	c=1 d=1 t=271814
mi 	咪	c=4 d=1 t=351601
mi 	米	c=26 d=1.94312 t=350875
mi 	蜜	c=5 d=1 t=325766
mi a bu dao 	蜜啊不到	c=1 d=1 t=17328
mi a ni shi 	米啊你是	c=1 d=1 t=72288
mi bu 	彌補	c=1 d=1 t=2722
mi de er dun 	米德爾頓	c=1 d=1 t=36611
mi di 	謎底	c=1 d=1 t=287411
mi er 	米爾	c=4 d=2.42798 t=230984
mi fan 	米飯	c=6 d=1 t=116326
mi fen 	米粉	c=6 d=1 t=296936
mi feng 	蜜蜂	c=1 d=1 t=236519
mi hou tao 	獼猴桃	c=1 d=1 t=165660
mi hu 	迷糊	c=4 d=1 t=298202
mi jie 	密接	c=1 d=1 t=349355
mi jiu 	米酒	c=1 d=1 t=83018
mi lan 	米蘭	c=1 d=1 t=175817
mi lu 	迷路	c=2 d=0.1 t=93497
mi ma 	密碼	c=201 d=3.21735 t=352415
mi ma gei wo 	密碼給我	c=1 d=1 t=70142
mi ma le 	密碼了	c=1 d=1 t=320041
mi ma ma 	密麻麻	c=1 d=1 t=127196
mi ma shi 	密碼是	c=1 d=1 t=5619
mi mang 	迷茫	c=5 d=3.84005 t=29066
mi mi 	咪咪	c=5 d=1.0154 t=66196
mi mi 	祕密	c=7 d=1.00069 t=181341
mi mian 	謎面	c=1 d=1 t=287413
mi na 	米那	c=1 d=1 t=292699
mi ni 	迷你	c=1 d=1 t=3290
mi qi lin 	米其林	c=1 d=1 t=285084
mi shu 	祕書	c=1 d=0.1 t=155227
mi xi xi bi 	密西西比	c=2 d=1.00018 t=344098
mi xian 	米線	c=3 d=1 t=94213
mi yao 	密鑰	c=1 d=1 t=9587
mi you 	密友	c=0 d=0.1 t=52884
mian 	免	c=11 d=1 t=306187
mian 	棉	c=3 d=1 t=340610
mian 	眠	c=1 d=1 t=326233
mian 	麪	c=58 d=1 t=352655
mian ba 	麪霸	c=1 d=1 t=69153
mian ban 	面板	c=1 d=1 t=37645
mian bao 	麪包	c=21 d=1 t=326366
mian bu 	面部	c=1 d=1 t=266887
mian bu liao 	免不了	c=1 d=1 t=185516
mian cha 	麪茶	c=1 d=1 t=81006
mian chao 	面朝	c=1 d=1.09005 t=176648
mian chu 	免除	c=1 d=1 t=293221
mian da rao 	麪打擾	c=1 d=1 t=306186
mian dan 	麪單	c=1 d=1 t=91003
mian de 	免得	c=3 d=1 t=329802
mian dian 	緬甸	c=1 d=1 t=19630
mian dui 	面對	c=5 d=1 t=264338
mian er 	面兒	c=1 d=1 t=154295
mian fei 	免費	c=60 d=1 t=349915
mian fei de 	免費的	c=2 d=1 t=65189
mian fei e 	免費餓	c=1 d=1 t=209556
mian fen 	麪粉	c=1 d=1 t=296269
mian fu 	面縛	c=1 d=1 t=293212
mian jian 	免檢	c=0 d=0.1 t=183519
mian jin 	面巾	c=2 d=1.90937 t=161829
mian le 	麪了	c=1 d=1 t=65374
mian lin 	面臨	c=2 d=1 t=216252
mian mo 	面膜	c=12 d=1 t=303082
mian qian 	免簽	c=2 d=1 t=154477
mian qian 	面前	c=4 d=1 t=342152
mian qiang 	勉強	c=1 d=1 t=156292
mian shi 	面試	c=149 d=1.96561 t=342750
mian shi guan 	面試官	c=1 d=1 t=19421
mian shi wan 	面試完	c=1 d=1 t=71730
mian shou 	面授	c=1 d=1 t=111766
mian shu 	面熟	c=1 d=1 t=285737
mian shui 	免稅	c=1 d=1 t=54687
mian si 	勉思	c=1 d=1 t=70489
mian tian 	靦腆	c=2 d=1.99501 t=42639
mian tiao 	麪條	c=11 d=1 t=284304
mian wo 	麪窩	c=1 d=1 t=74993
mian xiang 	面向	c=19 d=1 t=336458
mian ya jin 	免押金	c=1 d=1 t=221356
mian yang 	綿羊	c=1 d=1 t=45098
mian yi li 	免疫力	c=2 d=1 t=49632
mian ze 	免責	c=1 d=1 t=91884
mian zhao 	面罩	c=1 d=1 t=36835
mian zi 	面子	c=1 d=1 t=206350
miao 	妙	c=1 d=1 t=305758
miao 	廟	c=1 d=1 t=293317
miao 	淼	c=1 d=1 t=12126
miao 	秒	c=8 d=1 t=277272
miao 	苗	c=10 d=1 t=313261
miao hui 	廟會	c=1 d=1 t=347929
miao sha 	秒殺	c=34 d=1 t=332836
miao shi 	藐視	c=18 d=1.93239 t=301150
miao shu 	描述	c=53 d=1.56507 t=301151
miao shu wen jian 	描述文件	c=1 d=1 t=94663
miao shu xia 	描述下	c=1 d=1 t=27964
miao shui 	秒睡	c=2 d=1 t=96260
miao tian 	苗田	c=1 d=1 t=88942
miao zhun 	瞄準	c=2 d=1.95123 t=310454
mie ye 	乜嘢	c=0 d=0.1 t=56671
min 	民	c=2 d=0.1 t=308689
min gan 	敏感	c=4 d=1.02459 t=255534
min gan tu 	敏感圖	c=1 d=1 t=255535
min jie 	敏捷	c=44 d=1 t=338705
min jie de 	敏捷的	c=1 d=1 t=32086
min jie kai fa 	敏捷開發	c=1 d=1 t=30007
min jing 	民警	c=1 d=1 t=237531
min qi 	民企	c=1 d=1 t=107400
min xing 	民性	c=1 d=1 t=256103
min ying 	民營	c=1 d=1 t=218641
min zhu 	民主	c=1 d=1 t=163831
ming 	名	c=15 d=2.24695 t=337596
ming 	命	c=5 d=1 t=337097
ming 	明	c=47 d=1 t=350803
ming 	銘	c=1 d=1 t=155387
ming 	鳴	c=5 d=2.9458 t=238486
ming ai 	明哎	c=1 d=1 t=221339
ming ba 	明吧	c=2 d=1 t=205929
ming bai 	明白	c=156 d=1.42741 t=351227
ming bai le 	明白了	c=7 d=1 t=200023
ming bai zhe 	明擺着	c=1 d=1 t=170910
ming bo 	命薄	c=3 d=1 t=86247
ming chen 	名臣	c=1 d=1 t=281081
ming cheng 	名稱	c=105 d=1.00001 t=346864
ming cheng gei 	名稱給	c=1 d=1 t=250233
ming cheng he 	名稱和	c=1 d=1 t=321159
ming cheng jiu xing 	名稱就行	c=1 d=1 t=144659
ming ci 	名詞	c=2 d=1 t=325504
ming dan 	名單	c=20 d=1 t=343620
ming e 	名額	c=8 d=1 t=345450
ming er 	明兒	c=1 d=1 t=345449
ming hao 	名號	c=1 d=1 t=61821
ming hou tian 	明後天	c=1 d=1 t=261008
ming jiao 	名叫	c=1 d=1 t=350299
ming liang 	明亮	c=1 d=1 t=114625
ming ling 	命令	c=5 d=1 t=344530
ming ling hang 	命令行	c=1 d=1 t=330396
ming lu 	名錄	c=1 d=1 t=51244
ming lu 	明路	c=3 d=1 t=314964
ming mai 	命脈	c=2 d=1 t=310364
ming mian 	明面	c=1 d=0.1 t=191365
ming mian shang 	明面上	c=1 d=1 t=191366
ming ming 	命名	c=2 d=1 t=340998
ming ming 	明明	c=6 d=1 t=318922
ming ming bai bai 	明明白白	c=1 d=1 t=176440
ming ming shi 	明明是	c=5 d=1 t=163239
ming ming zhong 	冥冥中	c=1 d=1 t=54426
ming mu 	明目	c=1 d=1 t=17133
ming mu zhang dan 	明目張膽	c=2 d=1 t=285459
ming nian 	明年	c=42 d=1.01041 t=348981
ming ning 	明寧	c=1 d=1 t=43873
ming pian 	名片	c=5 d=1.94176 t=243200
ming qi 	名氣	c=1 d=1 t=352082
ming que 	明確	c=23 d=1 t=297747
ming que shuo 	明確說	c=1 d=1 t=97664
ming que xia 	明確下	c=3 d=1 t=238753
ming shi 	名師	c=1 d=1 t=290991
ming shuo 	明說	c=2 d=1 t=285399
ming tan 	名壇	c=1 d=1 t=95846
ming ti 	命題	c=0 d=0.1 t=41934
ming ti a 	明提啊	c=1 d=1 t=223837
ming ti na 	命題那	c=5 d=1 t=275406
ming tian 	明天	c=430 d=2.15902 t=351313
ming tian ba 	明天吧	c=2 d=1 t=222121
ming tian dao 	明天到	c=1 d=1 t=21492
ming tian gai 	明天改	c=1 d=1 t=324292
ming tian kan kan zhe ge 	明天看看這個	c=1 d=1 t=255740
ming tian qu 	明天去	c=1 d=1 t=335406
ming tian shi 	明天是	c=2 d=1 t=96454
ming tian wo 	明天我	c=2 d=1 t=101796
ming tian yao 	明天要	c=1 d=1 t=9140
ming tian yao shi 	明天要是	c=1 d=1 t=142026
ming tian zai 	明天再	c=1 d=1 t=21499
ming tian zao shang 	明天早上	c=1 d=1 t=8141
ming xi 	明細	c=9 d=0.1 t=296811
ming xi na 	明細那	c=1 d=1 t=296812
ming xia 	名下	c=7 d=1 t=341416
ming xian 	明顯	c=20 d=1 t=342164
ming xian dian 	明顯點	c=1 d=1 t=118275
ming xing 	明星	c=3 d=1 t=351965
ming yan 	名言	c=1 d=1 t=168071
ming yi 	名義	c=11 d=1 t=325712
ming yi shang 	名義上	c=2 d=1 t=180880
ming yun 	命運	c=2 d=1 t=112346
ming zheng yan shun 	名正言順	c=2 d=1 t=325713
ming zhi dao 	明知道	c=1 d=1 t=352646
ming zi 	名字	c=109 d=1 t=350360
ming zi jiu xing 	名字就行	c=1 d=1 t=300684
ming zi shi 	名字是	c=1 d=1 t=167456
mo 	墨	c=118 d=1.11297 t=352422
mo 	摩	c=11 d=1 t=346721
mo 	摸	c=5 d=1 t=275942
mo 	末	c=3 d=1.76338 t=334208
mo 	磨	c=4 d=1.92312 t=261529
mo 	膜	c=5 d=1 t=293971
mo 	莫	c=5 d=1.54064 t=345944
mo 	饃	c=1 d=1 t=346693
mo bai 	膜拜	c=1 d=1 t=256570
mo ban 	模板	c=66 d=1 t=351943
mo dao 	摸到	c=1 d=1 t=161065
mo fa 	魔法	c=2 d=1 t=301814
mo fang 	模仿	c=2 d=1 t=250718
mo fang 	魔方	c=3 d=1.00037 t=326124
mo fei 	摩菲	c=1 d=1 t=333096
mo gu 	蘑菇	c=1 d=0.1 t=82937
mo gui 	墨龜	c=1 d=1 t=325746
mo he 	磨合	c=3 d=1.45612 t=247071
mo hei 	抹黑	c=1 d=1 t=327129
mo hu 	模糊	c=10 d=1 t=299902
mo hui 	摹繪	c=1 d=1 t=120087
mo ji 	墨跡	c=6 d=1 t=193695
mo jing 	墨鏡	c=3 d=2.98506 t=218290
mo jing 	魔鏡	c=1 d=1 t=70819
mo ka 	摩卡	c=6 d=1 t=350850
mo kan 	磨勘	c=1 d=1 t=300037
mo kuai 	模塊	c=40 d=1.8825 t=331424
mo li hua 	茉莉花	c=2 d=1 t=217674
mo mi a 	墨米啊	c=1 d=1 t=267477
mo ming 	莫名	c=1 d=1 t=69204
mo mo 	默默	c=3 d=1 t=314641
mo ni 	模擬	c=24 d=1 t=333940
mo ni qi 	模擬器	c=4 d=1 t=308958
mo ni shu ju 	模擬數據	c=1 d=1 t=69555
mo ni xia 	模擬下	c=1 d=1 t=177979
mo nv 	魔女	c=2 d=1 t=181342
mo qi 	默契	c=1 d=1 t=100605
mo ren 	默認	c=29 d=1.00002 t=352598
mo ren men dian 	默認門店	c=1 d=1 t=233682
mo shi 	末世	c=2 d=1.52466 t=220953
mo shi 	模式	c=87 d=1 t=334752
mo shi shi 	模式是	c=1 d=1 t=264895
mo shou 	魔獸	c=1 d=1 t=234601
mo suo 	摸索	c=2 d=1 t=230296
mo te 	模特	c=2 d=1 t=261872
mo tuo 	摩托	c=1 d=1 t=305059
mo tuo che 	摩托車	c=1 d=1 t=100128
mo xia 	摸下	c=1 d=1 t=45206
mo xing 	模型	c=24 d=1 t=303480
mo xu 	默許	c=2 d=1 t=212743
mo yu 	摸魚	c=12 d=0.956415 t=278986
mo ze min 	墨澤民	c=1 d=1 t=113546
mo zhou 	魔咒	c=1 d=1.09802 t=38173
mo zong 	墨總	c=425 d=1.67598 t=352730
mo zong hen guan zhu 	墨總很關注	c=1 d=1 t=333461
mo zong na ge 	墨總哪個	c=4 d=1 t=312265
mo zong o na ge 	墨總哦哪個	c=1 d=1 t=319979
mo zong yi hui er 	墨總一會兒	c=1 d=1 t=295299
mo zui 	磨嘴	c=1 d=1 t=342697
mo zuo 	默坐	c=0 d=0.1 t=330742
mo zuo neng 	默坐能	c=1 d=1 t=330743
mou 	某	c=1 d=1 t=52617
mou 	謀	c=1 d=1 t=232796
mou ge 	某個	c=3 d=1 t=137204
mou se 	某色	c=1 d=1 t=219794
mou xiang 	某項	c=1 d=1 t=137502
mou xie 	某些	c=4 d=1 t=313200
mou yi 	某一	c=1 d=1 t=132299
mou yi tian 	某一天	c=1 d=1 t=303313
mou zhong 	某種	c=2 d=1 t=137207
mu 	姆	c=3 d=1 t=214981
mu 	慕	c=2 d=1 t=281662
mu 	木	c=10 d=3.2465 t=345859
mu 	母	c=5 d=1 t=343164
mu 	牧	c=1 d=1 t=267942
mu 	目	c=1 d=1 t=128856
mu biao 	目標	c=54 d=1.00061 t=322427
mu bu 	幕布	c=5 d=3.16801 t=231815
mu dan 	牡丹	c=1 d=1 t=57464
mu di 	目的	c=10 d=1 t=338491
mu di di 	目的地	c=1 d=1 t=348882
mu gong si 	母公司	c=2 d=1 t=125056
mu ji 	募集	c=1 d=1 t=7651
mu ji 	母雞	c=83 d=1.00591 t=346212
mu lan 	木蘭	c=1 d=1 t=350340
mu lu 	目錄	c=26 d=3.77055 t=349176
mu mu 	木木	c=1 d=1 t=257218
mu ne 	木訥	c=1 d=1 t=164536
mu o ni 	母哦你	c=1 d=1 t=95191
mu qian 	目前	c=302 d=1 t=351583
mu qian de 	目前的	c=1 d=1 t=78891
mu qian kan 	目前看	c=1 d=1 t=22800
mu qian shi 	目前是	c=3 d=1 t=322065
mu qin 	母親	c=4 d=1 t=255350
mu qin a 	母親啊	c=3 d=1 t=300486
mu qin jie 	母親節	c=1 d=1 t=87190
mu tou 	木頭	c=1 d=1 t=327415
mu wen 	木紋	c=1 d=1 t=312237
mu xu 	母畜	c=0 d=0.1 t=192613
mu xu rou 	母畜肉	c=1 d=1 t=192614
mu you 	木有	c=12 d=1 t=337477
mu zhi 	拇指	c=0 d=0.1 t=254412
mu zhi dao 	拇指到	c=1 d=1 t=254413
na 	哪	c=282 d=1.02612 t=352664
na 	娜	c=13 d=2.78674 t=341448
na 	拿	c=128 d=1.86529 t=348513
na 	納	c=13 d=1.62238 t=350087
na 	那	c=1349 d=5.43385 t=352685
na an zhao 	那按照	c=1 d=1 t=31537
na ba 	那把	c=2 d=1 t=201938
na bi 	那筆	c=1 d=0.1 t=307454
na bi a 	那筆啊	c=1 d=1 t=307455
na bi jiao 	那比較	c=1 d=1 t=66839
na bi ru shuo 	那比如說	c=1 d=1 t=314575
na bi wo 	那比我	c=1 d=1 t=154629
na bi xu 	那必須	c=5 d=1 t=345988
na bian 	哪邊	c=2 d=1 t=270400
na bian 	那邊	c=553 d=2.24213 t=352707
na bie qu 	那別去	c=1 d=1 t=191706
na bin 	那斌	c=1 d=0.1 t=310555
na bin a 	那斌啊	c=1 d=1 t=310556
na bu 	那不	c=10 d=1 t=345351
na bu cuo 	那不錯	c=1 d=1 t=144211
na bu dao 	拿不到	c=2 d=1 t=251695
na bu dei 	那不得	c=4 d=1 t=192416
na bu fen 	那部分	c=9 d=1 t=321310
na bu gen 	那不跟	c=1 d=1 t=23241
na bu hai shi 	那不還是	c=1 d=1 t=142956
na bu hao shuo 	那不好說	c=1 d=1 t=221864
na bu mai 	那不買	c=1 d=1 t=71183
na bu qu 	那不去	c=1 d=1 t=78102
na bu ru 	那不如	c=5 d=1 t=352702
na bu shi 	那不是	c=13 d=1 t=351357
na bu shuo 	那不說	c=1 d=1 t=107668
na bu xing 	那不行	c=3 d=1 t=71285
na bu ye 	那不也	c=1 d=1 t=54020
na bu ying gai 	那不應該	c=2 d=1 t=333803
na bu zou 	那不走	c=1 d=1 t=99354
na ceng 	哪層	c=1 d=1 t=314752
na chi wan 	那吃完	c=1 d=1 t=44863
na chu 	拿出	c=0 d=0.1 t=17412
na chu lai 	拿出來	c=4 d=1 t=233311
na chu le 	那除了	c=1 d=1 t=127364
na chu wo de 	拿出我的	c=1 d=1 t=17413
na ci 	哪次	c=3 d=1 t=289190
na ci 	那次	c=5 d=1.91393 t=257742
na cong 	那從	c=1 d=1 t=112272
na dan 	那單	c=3 d=1 t=289782
na dao 	拿到	c=27 d=1 t=327717
na dao 	那倒	c=1 d=1 t=53329
na de 	那得	c=3 d=1 t=347371
na dei 	那得	c=67 d=1 t=346654
na dei kan 	那得看	c=1 d=1 t=284265
na dei qu 	那得去	c=1 d=1 t=210397
na dei zai 	那得在	c=1 d=1 t=92206
na deng 	那等	c=2 d=1 t=344300
na deng ni 	那等你	c=4 d=1 t=221370
na deng yu 	那等於	c=2 d=1 t=298792
na dian 	拿點	c=1 d=1 t=80473
na dian 	那點	c=1 d=1 t=297675
na dian dong xi 	拿點東西	c=1 d=1 t=55690
na dou shi 	那都是	c=2 d=1 t=306282
na duan 	那段	c=6 d=1 t=348022
na duo 	那多	c=2 d=1 t=118350
na duo ge 	那多個	c=1 d=1 t=300343
na duo hao 	那多好	c=1 d=1 t=123641
na fa wo 	那發我	c=1 d=1 t=18857
na fu kuan 	那付款	c=1 d=1 t=289044
na gan 	哪敢	c=1 d=1 t=249146
na gan cui 	那乾脆	c=1 d=1 t=18963
na gan ma 	那幹嘛	c=2 d=1 t=176640
na gang 	那剛	c=1 d=1 t=146279
na ge 	哪個	c=340 d=1.01423 t=352292
na ge 	拿個	c=5 d=1 t=307295
na ge 	那個	c=715 d=1.38359 t=352806
na ge e 	那個餓	c=1 d=1 t=283811
na ge fa 	那個發	c=1 d=1 t=165099
na ge shi 	那個是	c=3 d=1 t=326799
na ge wei zhi 	那個位置	c=1 d=1 t=253196
na ge wo 	那個我	c=1 d=1 t=230484
na ge yi jing 	那個已經	c=1 d=1 t=241154
na gei 	拿給	c=2 d=1 t=319438
na gei ta 	那給他	c=1 d=1 t=245572
na gei wo 	那給我	c=2 d=1 t=196349
na gen 	那根	c=2 d=1 t=320745
na gu ji 	那估計	c=20 d=1 t=352632
na gu ji dei 	那估計得	c=1 d=1 t=85457
na gu ji shi 	哪估計是	c=2 d=1 t=110187
na guo 	哪國	c=1 d=1 t=22588
na guo lai 	拿過來	c=4 d=1 t=234677
na guo qu 	拿過去	c=7 d=1 t=287436
na hai 	那還	c=9 d=1 t=341256
na hai bu 	那還不	c=2 d=0.1 t=147440
na hai bu chi 	那還不吃	c=1 d=1 t=147441
na hai bu ru 	那還不如	c=2 d=1 t=222356
na hai cha 	那還差	c=1 d=1 t=10778
na hai dei 	那還得	c=6 d=1 t=343938
na hai hao 	那還好	c=7 d=1 t=206632
na hai neng 	那還能	c=1 d=1 t=169142
na hai shi 	那還是	c=12 d=1 t=330349
na hai suan 	那還算	c=1 d=1 t=20711
na hai ting kuai 	那還挺快	c=1 d=1 t=20673
na hai xing 	那還行	c=4 d=1 t=119763
na hai xing a 	那還行啊	c=1 d=1 t=20289
na hai you 	那還有	c=1 d=1 t=158521
na hao 	那好	c=1 d=1 t=276313
na hao ba 	那好吧	c=6 d=1 t=123812
na hao si 	那好似	c=2 d=1 t=289459
na hen 	那很	c=1 d=1 t=154098
na hen hao 	那很好	c=1 d=1 t=17246
na hu 	哪壺	c=0 d=0.1 t=10688
na hui 	哪會	c=1 d=1 t=211066
na hui 	拿回	c=3 d=1 t=320785
na hui jia 	拿回家	c=6 d=1 t=217337
na hui jia ba 	拿回家吧	c=1 d=1 t=167905
na hui qu 	拿回去	c=4 d=0.1 t=346891
na hui qu chi 	拿回去吃	c=1 d=1 t=346892
na hui zong 	那彙總	c=1 d=1 t=237537
na huo zhe 	那或者	c=3 d=1 t=138075
na ji 	那幾	c=5 d=1 t=317967
na ji ge 	哪幾個	c=3 d=1 t=294835
na ji ge 	那幾個	c=3 d=1 t=121743
na ji shi 	那及時	c=1 d=1 t=189521
na ji tiao 	那幾條	c=1 d=1 t=181228
na jia 	哪家	c=34 d=1 t=347567
na jia 	那家	c=15 d=1 t=334183
na jia li 	那家裏	c=1 d=1 t=177362
na jiao 	那叫	c=1 d=1 t=34829
na jin nian 	那今年	c=1 d=1 t=18734
na jin tian 	那今天	c=1 d=1 t=175537
na jiu 	那就	c=246 d=1.18517 t=352038
na jiu ai hao 	那就愛好	c=1 d=1 t=93846
na jiu an 	那就按	c=1 d=1 t=116517
na jiu bu suan 	那就不算	c=1 d=1 t=271928
na jiu dei 	那就得	c=1 d=1 t=75469
na jiu gai 	那就改	c=1 d=1 t=313048
na jiu gei 	那就給	c=1 d=1 t=119639
na jiu gen 	那就跟	c=1 d=1 t=66532
na jiu hai ting hao 	那就還挺好	c=1 d=1 t=20299
na jiu hao 	那就好	c=20 d=1 t=312990
na jiu shan 	那就刪	c=1 d=1 t=278643
na jiu shi 	那就是	c=38 d=1 t=330373
na jiu xing 	那就行	c=7 d=1 t=311057
na ju 	哪句	c=1 d=1 t=178539
na ju 	那句	c=0 d=0.1 t=119827
na ju hua 	那句話	c=5 d=1 t=286267
na ju shi 	那句是	c=2 d=1 t=280213
na ju ti 	那具體	c=1 d=1 t=177011
na kan lai 	那看來	c=1 d=1 t=49612
na kan ni 	那看你	c=1 d=1 t=133386
na ke 	那可	c=1 d=1 t=261216
na ke 	那顆	c=3 d=1 t=120744
na ke bu 	那可不	c=10 d=1 t=284258
